str,en_US,en_HK,en_SG,en_TH,zh_HK,zh_SG,th_TH,id_HK,id_SG
canRedeemImmediatelyTo,Redeem points to vouchers,,,,用積分即時兌換,用积分即时兑换,แลกคะแนนเป็นบัตรกำนัล E-Vouchers,Tukarkan poin menjadi voucher,
charity,Charity,,,,慈善捐款,慈善捐款,การกุศล,Amal,
charityPageSubtitle,With over 46+ local and international charities,,,,46+本地與國際慈善機構夥伴。,46+本地与国际慈善机构伙伴。,องค์กรการกุศลทั้งในประเทศและต่างประเทศมากกว่า 46 แห่ง,Dengan lebih dari 46+ badan amal lokal dan internasional,
charityPageTagline,Giving back has never been easier,,,,隨時可以幫到有需人士,随时可以帮到有需人士,การช่วยเหลือสังคมสามารถทำได้อย่างสะดวก และง่ายดาย,Memberi kembali tidak pernah semudah ini,
chinese_name,Chinese,,,,中文,中文,ภาษาจีน,Cina,
choose_top_up_denomination,Choose Top-up Denomination,,,,選擇充值面額,选择充值面额,เลือกเติมเงิน,Pilih Denominasi Top-up,
code_valid_for,Code is valid for,,,,代碼適用於,代码适用于,รหัสใช้ได้สำหรับ,Kode berlaku untuk,
coin_deposit,Coin Deposit,,,,硬幣兌換服務,硬币兑换服务,ฝากเหรียญ,Setoran Koin,
coinInAV,Add-value (coins),,,,硬幣增值,硬币增值,,Nilai tambah (koin),
coins_deposit,Coins\nDeposit,,,,硬幣\n存款,硬币\n存款,เหรียญ\nเงินฝาก,Koin\nSetoran,
confirm,Confirm,,,,確認,确认,ยืนยัน,Mengonfirmasi,
cont,Continue,,,,確認,确认,ดำเนินการต่อ,Melanjutkan,
contact,Contact:,,,,接觸：,接触：,ติดต่อ:,Kontak:,
couponOut,Voucher Exchange,,,,兌換電子禮劵,兑换电子礼劵,แลกเป็นบัตรกำนัล E-Vouchers,Penukaran Voucher,
credit_card_topup,Credit Card Topup,,,,用信用卡增值,用信用卡增值,เติมเงินด้วยบัตรเครดิต,Isi Ulang Kartu Kredit,
creditIn,Bonus Points,,,,+特別積分,#NAME?,คะแนนโบนัส,Poin Bonus,
current,Current:,,,,當前的：,当前的：,ปัจจุบัน:,Saat ini:,
current_balance,Current Balance:,,,,當前餘額：,当前余额：,ยอดเงินปัจจุบัน:,Saldo saat ini:,
date,date,,,,日期,日期,วันที่,tanggal,
delete,Remove,,,,刪除,删除,ลบ,Menghapus,
deleteaccount,Delete Account,,,,刪除帳戶,删除帐户,ลบบัญชี,Hapus akun,
deletemsg1,All your Dragon Reward points shall be removed along with this account deletion.,,,,您所有的Dragon Rewards積分將隨著此帳戶刪除而被刪除。,您所有的Dragon Rewards积分将随着此帐户删除而被删除。,คะแนน Dragon Reward ทั้งหมดของคุณจะถูกลบออกพร้อมกับการลบบัญชีนี้,Semua poin Dragon Reward Anda akan dihapus bersamaan dengan penghapusan akun ini.,
deleteMsg2,"If you re-login using the same information, it'll be registered as a new account.",,,,如果日後您使用相同的電話號碼重新登錄，將被註冊為一個新帳戶。,如果日后您使用相同的电话号码重新登录，将被注册为一个新帐户。,หากคุณเข้าสู่ระบบอีกครั้งโดยใช้ข้อมูลเดิม จะถูกลงทะเบียนเป็นบัญชีใหม่,"Jika Anda login ulang menggunakan informasi yang sama, maka akun tersebut akan didaftarkan sebagai akun baru.",
deleteMsg3,"If you are sure, please enter the following 4-digit code and press ""Delete Account"" to proceed.",,,,"如果您確定，請輸入以下4位代碼，然後點擊""刪除帳戶""。","如果您确定，请输入以下4位代码，然后点击""删除帐户""。","หากคุณแน่ใจ โปรดป้อนรหัส 4 หลักต่อไปนี้ แล้วกด ""ลบบัญชี"" เพื่อดำเนินการต่อ","Jika Anda yakin, silakan masukkan kode 4 digit berikut dan tekan ""Hapus Akun"" untuk melanjutkan.",
desc_kiosk_term_of_use_1,"{} operates this website (the “Site”) to provide online access to information about {} (the “Company”) and to provide Coin Dragon Kiosk related information and services. By accessing and using this Site, you agree to be bound by the terms contained herein, including such additional terms applicable to specific areas of this Site as posted on the particular areas of this Site.The Company reserves the right to modify this Site at any time without prior notice. Your use of this Site following any such modifications constitutes your agreement to be bound by the terms as modified.",,,,{} 運營本網站（“網站”）以提供有關 {}（“公司”）信息的在線訪問，並提供 Coin Dragon Kiosk 相關信息和服務。 通過訪問和使用本網站，您同意受此處包含的條款的約束，包括張貼在本網站特定區域的適用於本網站特定區域的附加條款。公司保留隨時修改本網站的權利 時間恕不另行通知。 您在任何此類修改後使用本網站即表示您同意受修改後的條款約束。,{} 运营本网站（“网站”）以提供有关 {} “公司”）信息的在线访问，并提供 Coin Dragon Kiosk 相关信息和服务。通过访问和使用本网站，您同意受此处包含的条款的约束，包括张贴在本网站特定区域的适用于本网站特定区域的附加条款。公司保留随时修改本网站的权利 时间恕不另行通知。您在任何此类修改后使用本网站即表示您同意受修改后的条款约束。,{} ดำเนินการเว็บไซต์นี้ (“ไซต์”) เพื่อให้การเข้าถึงได้ทางออนไลน์ของ {} (“บริษัท”) และเพื่อให้ข้อมูลและบริการที่เกี่ยวข้องกับ Coin Dragon Kiosk โดยการเข้าถึงและใช้งานไซต์นี้ แสดงว่าคุณตกลงที่จะรับทราบตามข้อกำหนดที่มีอยู่ในที่นี้ รวมถึงข้อกำหนดเพิ่มเติมที่บังคับใช้กับพื้นที่เฉพาะของไซต์นี้ตามที่โพสต์ไว้ในพื้นที่เฉพาะของไซต์นี้ บริษัทขอสงวนสิทธิ์ในการแก้ไขไซต์นี้เมื่อใดก็ได้ ครั้งโดยไม่ต้องแจ้งให้ทราบล่วงหน้า การใช้งานไซต์นี้ของคุณหลังจากการแก้ไขใด ๆ ดังกล่าวถือเป็นข้อตกลงของคุณที่จะผูกพันตามข้อกำหนดตามที่แก้ไข,"{} mengoperasikan situs web ini (“Situs”) untuk menyediakan akses online ke informasi tentang {} (“Perusahaan”) dan untuk menyediakan informasi dan layanan terkait Kios Coin Dragon. Dengan mengakses dan menggunakan Situs ini, Anda setuju untuk terikat oleh ketentuan yang terdapat di sini, termasuk ketentuan tambahan yang berlaku pada area tertentu di Situs ini sebagaimana diposting di area tertentu di Situs ini. Perusahaan berhak untuk mengubah Situs ini kapan pun waktu tanpa pemberitahuan sebelumnya. Penggunaan Anda atas Situs ini setelah modifikasi tersebut merupakan persetujuan Anda untuk terikat oleh ketentuan yang telah dimodifikasi.",
desc_kiosk_term_of_use_2,"The information provided on this website is not intended for distribution to, or use by, any person or entity in any jurisdiction or country. Persons in respect of whom such restrictions apply must not access this website. It is the responsibility of the person accessing the information contained herein to observe all applicable laws and regulations of their relevant jurisdiction. Any person or entity who intends to respond to or rely upon the information on this website must satisfy himself/herself that he/she is not subject to any local requirement which restricts or prohibits him/her from doing so.",,,,本網站提供的信息無意分發給任何司法管轄區或國家的任何個人或實體或供其使用。 適用此類限制的人員不得訪問本網站。 訪問此處包含的信息的人有責任遵守其相關司法管轄區的所有適用法律和法規。 任何打算回复或依賴本網站信息的個人或實體必須確信他/她不受任何限製或禁止他/她這樣做的當地要求的約束。,本网站提供的信息无意分发给任何司法管辖区或国家的任何个人或实体或供其使用。适用此类限制的人员不得访问本网站。访问此处包含的信息的人有责任遵守其相关司法管辖区的所有适用法律和法规。任何打算回复或依赖本网站信息的个人或实体必须确信他/她不受任何限制或禁止他/她这样做的当地要求的约束。,ข้อมูลที่ให้ไว้บนเว็บไซต์นี้ไม่ได้มีไว้เพื่อแจกจ่ายหรือใช้โดยบุคคลหรือนิติบุคคลใด ๆ ในเขตอำนาจศาลหรือประเทศใด ๆ บุคคลที่เกี่ยวข้องกับข้อจำกัดดังกล่าวจะต้องไม่เข้าถึงเว็บไซต์นี้ เป็นความรับผิดชอบของบุคคลที่เข้าถึงข้อมูลในเอกสารนี้ที่จะต้องปฏิบัติตามกฎหมายและข้อบังคับที่เกี่ยวข้องทั้งหมดในเขตอำนาจศาลที่เกี่ยวข้องของตน บุคคลหรือนิติบุคคลใดที่ตั้งใจจะตอบสนองหรือพึ่งพาข้อมูลบนเว็บไซต์นี้จะต้องตอบสนองตนเองว่าตนไม่อยู่ภายใต้ข้อกำหนดของท้องถิ่นที่จำกัดหรือห้ามมิให้ทำเช่นนั้น,"Informasi yang disediakan di situs web ini tidak dimaksudkan untuk didistribusikan ke, atau digunakan oleh, orang atau entitas mana pun di yurisdiksi atau negara mana pun. Orang-orang yang terkena pembatasan tersebut tidak boleh mengakses situs web ini. Orang yang mengakses informasi yang terkandung di sini bertanggung jawab untuk mematuhi semua hukum dan peraturan yang berlaku di yurisdiksi mereka yang relevan. Setiap orang atau entitas yang ingin menanggapi atau mengandalkan informasi di situs web ini harus meyakinkan dirinya sendiri bahwa dia tidak tunduk pada persyaratan lokal apa pun yang membatasi atau melarang dia melakukan hal tersebut.",
desc_kiosk_term_of_use_3,"Whilst care has been taken in preparing the information and materials contained on this website, such information and materials are provided ""as is"" without warranty of any kind, either expressed or implied, and are subject to change without prior notice. Information such as the number of available car parking spaces at our Premises is updated by this website at intervals and does not display ""real time"" information; it is intended for your general reference only and is not intended for any other purposes. Further, this website may also identify your location provided by your browser for the purpose of providing location based information. You can, however, turn off/disable the location access in the browser settings page in which case, your location data will not be recorded. We do not warrant, represent or guarantee the accuracy, reliability, timeliness of any of any such information, nor do we assume any liability (whether in tort or contract or otherwise) for any loss or damage arising from any inaccuracies or omissions or for any reliance on any such information. In particular, no warranty regarding non-infringement, security, accuracy, completeness, merchantability, fitness for a purpose or freedom from computer viruses is given in connection with such information and materials.",,,,儘管在準備本網站所含信息和材料時已謹慎行事，但此類信息和材料“按原樣”提供，不提供任何明示或暗示的保證，如有更改，恕不另行通知。 本網站會定期更新我們場所的可用停車位數量等信息，並不顯示“實時”信息； 它僅供您一般參考，不用於任何其他目的。 此外，本網站還可以識別您的瀏覽器提供的位置，以提供基於位置的信息。 但是，您可以在瀏覽器設置頁面中關閉/禁用位置訪問，在這種情況下，您的位置數據將不會被記錄。 我們不保證、陳述或保證任何此類信息的準確性、可靠性、及時性，我們也不對因任何不准確或遺漏或任何 依賴任何此類信息。 尤其是，對於與此類信息和材料相關的非侵權、安全性、準確性、完整性、適銷性、適用性或不受計算機病毒的影響，我們不提供任何保證。,尽管在准备本网站所含信息和材料时已谨慎行事，但此类信息和材料“按原样”提供，不提供任何明示或暗示的保证，如有更改，恕不另行通知。本网站会定期更新我们场所的可用停车位数量等信息，并不显示“实时”信息； 它仅供您一般参考，不用于任何其他目的。此外，本网站还可以识别您的浏览器提供的位置，以提供基于位置的信息。但是，您可以在浏览器设置页面中关闭/禁用位置访问，在这种情况下，您的位置数据将不会被记录。我们不保证、陈述或保证任何此类信息的准确性、可靠性、及时性，我们也不对因任何不准确或遗漏或任何 依赖任何此类信息。尤其是，对于与此类信息和材料相关的非侵权、安全性、准确性、完整性、适销性、适用性或不受计算机病毒的影响，我们不提供任何保证。,"ข้อมูลและเนื้อหาในเว็บไซต์ถูกเตรียมขึ้นอย่างระมัดระวัง ข้อมูลและเนื้อหาดังกล่าวมีให้ ""ตามสภาพ"" โดยไม่มีการรับประกันใดๆ ไม่ว่าจะโดยชัดแจ้งหรือโดยนัย และอาจเปลี่ยนแปลงได้โดยไม่ต้องแจ้งให้ทราบล่วงหน้า ข้อมูลเช่นจำนวนที่จอดรถในสถานที่ของเราได้รับการอัปเดตโดยเว็บไซต์นี้เป็นระยะ ๆ และไม่แสดงข้อมูล ""เรียลไทม์"" มันมีไว้สำหรับการอ้างอิงทั่วไปของคุณเท่านั้น และไม่ได้มีไว้สำหรับวัตถุประสงค์อื่นใด นอกจากนี้ เว็บไซต์นี้ยังอาจระบุตำแหน่งของคุณที่เบราว์เซอร์ของคุณระบุเพื่อจุดประสงค์ในการให้ข้อมูลตามตำแหน่ง อย่างไรก็ตาม คุณสามารถปิด/ปิดการเข้าถึงตำแหน่งในหน้าการตั้งค่าเบราว์เซอร์ ซึ่งในกรณีนี้ ข้อมูลตำแหน่งของคุณจะไม่ถูกบันทึก เราไม่รับประกัน เป็นตัวแทน หรือรับประกันความถูกต้อง ความน่าเชื่อถือ ความทันเวลาของข้อมูลใด ๆ ดังกล่าว และเราไม่รับผิดชอบใด ๆ (ไม่ว่าจะเป็นการละเมิดหรือสัญญาหรืออื่น ๆ ) สำหรับการสูญเสียหรือความเสียหายใด ๆ ที่เกิดขึ้นจากความไม่ถูกต้องหรือการละเว้นใด ๆ หรือสำหรับ การพึ่งพาข้อมูลดังกล่าว โดยเฉพาะอย่างยิ่ง ไม่มีการรับประกันเกี่ยวกับการไม่ละเมิด ความปลอดภัย ความถูกต้อง ความสมบูรณ์ ความสามารถในการขาย ความเหมาะสมตามวัตถุประสงค์ หรือการปลอดจากไวรัสคอมพิวเตอร์ที่เกี่ยวข้องกับข้อมูลและเนื้อหาดังกล่าว","Meskipun persiapan informasi dan materi yang terkandung dalam situs web ini telah dilakukan secara hati-hati, informasi dan materi tersebut disediakan ""sebagaimana adanya"" tanpa jaminan apa pun, baik tersurat maupun tersirat, dan dapat berubah tanpa pemberitahuan sebelumnya. Informasi seperti jumlah tempat parkir mobil yang tersedia di Tempat kami diperbarui oleh situs web ini secara berkala dan tidak menampilkan informasi ""waktu nyata""; ini dimaksudkan untuk referensi umum Anda saja dan tidak dimaksudkan untuk tujuan lain apa pun. Lebih lanjut, situs web ini juga dapat mengidentifikasi lokasi Anda yang disediakan oleh browser Anda untuk tujuan memberikan informasi berbasis lokasi. Namun, Anda dapat mematikan/menonaktifkan akses lokasi di halaman pengaturan browser sehingga data lokasi Anda tidak akan direkam. Kami tidak menjamin, mewakili, atau menjamin keakuratan, keandalan, ketepatan waktu informasi apa pun, dan kami juga tidak bertanggung jawab (baik dalam bentuk perbuatan melawan hukum atau kontrak atau lainnya) atas kehilangan atau kerusakan apa pun yang timbul dari ketidakakuratan atau kelalaian atau atas kerugian apa pun. ketergantungan pada informasi tersebut. Secara khusus, tidak ada jaminan mengenai non-pelanggaran, keamanan, keakuratan, kelengkapan, kelayakan untuk diperdagangkan, kesesuaian untuk suatu tujuan atau kebebasan dari virus komputer yang diberikan sehubungan dengan informasi dan materi tersebut.",
desc_kiosk_term_of_use_4,"Links to third party websites or information are provided for your convenience only. If you use these links, you will leave this Site and will be subject to the terms contained on any such third party websites. The Company is not responsible for the availability of any such third party websites. The Company has not reviewed, is not responsible for, and accepts no liability in respect of, any information or opinion contained on any such third party websites.",,,,第三方網站或信息的鏈接僅為方便您而提供。 如果您使用這些鏈接，您將離開本網站並受任何此類第三方網站上包含的條款的約束。 公司不對任何此類第三方網站的可用性負責。 本公司未審查任何此類第三方網站上包含的任何信息或意見，對此不承擔任何責任，也不承擔任何責任。,第三方网站或信息的链接仅为方便您而提供。如果您使用这些链接，您将离开本网站并受任何此类第三方网站上包含的条款的约束。公司不对任何此类第三方网站的可用性负责。本公司未审查任何此类第三方网站上包含的任何信息或意见，对此不承担任何责任，也不承担任何责任。,ลิงค์ไปยังเว็บไซต์หรือข้อมูลภายนอกมีไว้เพื่อความสะดวกของคุณเท่านั้น หากคุณใช้ลิงก์เหล่านี้ คุณจะออกจากไซต์นี้และจะอยู่ภายใต้ข้อกำหนดที่มีอยู่ในเว็บไซต์ของบุคคลที่สามดังกล่าว บริษัทไม่รับผิดชอบต่อความพร้อมใช้งานของเว็บไซต์บุคคลที่สามดังกล่าว บริษัทยังไม่ได้ตรวจสอบ ไม่รับผิดชอบ และไม่รับผิดชอบต่อข้อมูลหรือความคิดเห็นใด ๆ ที่มีอยู่ในเว็บไซต์ภายนอกดังกล่าว,"Tautan ke situs web atau informasi pihak ketiga disediakan hanya untuk kenyamanan Anda. Jika Anda menggunakan tautan ini, Anda akan meninggalkan Situs ini dan akan tunduk pada ketentuan yang terdapat di situs web pihak ketiga mana pun. Perusahaan tidak bertanggung jawab atas ketersediaan situs web pihak ketiga tersebut. Perusahaan belum meninjau, tidak bertanggung jawab, dan tidak menerima tanggung jawab apa pun sehubungan dengan, informasi atau pendapat apa pun yang terkandung di situs web pihak ketiga mana pun.",
desc_kiosk_term_of_use_5,"Email messages sent to us over the Internet cannot be guaranteed to be completely secure. We are not responsible for any damages incurred by users if they send a message to us, or if we send a message to them at their request, over the Internet. We are not responsible in any way for any direct, indirect, special, consequential, incidental or other damages, losses or expenses arising out of or in connection with the use of this website. Due to the nature of the Internet, communications or transactions may be subject to interruption, transmission blackout, delayed transmission and incorrect data transmission. We are not liable for malfunctions in communications facilities not under our control that may affect the accuracy or timeliness of communications between users of this website and us.",,,,不能保證通過互聯網發送給我們的電子郵件消息是完全安全的。 如果用戶通過 Internet 向我們發送消息，或者如果我們應他們的要求向他們發送消息，則我們對用戶造成的任何損失概不負責。 對於因使用本網站而引起或與之相關的任何直接、間接、特殊、後果性、偶然性或其他損害、損失或費用，我們概不負責。 由於互聯網的性質，通訊或交易可能會中斷、傳輸中斷、延遲傳輸和錯誤數據傳輸。 我們不對不受我們控制的通信設施的故障負責，這些故障可能影響本網站用戶與我們之間通信的準確性或及時性。,不能保证通过互联网发送给我们的电子邮件消息是完全安全的。如果用户通过 Internet 向我们发送消息，或者如果我们应他们的要求向他们发送消息，则我们对用户造成的任何损失概不负责。对于因使用本网站而引起或与之相关的任何直接、间接、特殊、后果性、偶然性或其他损害、损失或费用，我们概不负责。由于互联网的性质，通讯或交易可能会中断、传输中断、延迟传输和错误数据传输。我们不对不受我们控制的通信设施的故障负责，这些故障可能影响本网站用户与我们之间通信的准确性或及时性。,ข้อความอีเมลที่ส่งถึงเราทางอินเทอร์เน็ตไม่สามารถรับประกันได้ว่าจะปลอดภัยอย่างสมบูรณ์ เราไม่รับผิดชอบต่อความเสียหายใดๆ ที่เกิดขึ้นจากผู้ใช้ หากพวกเขาส่งข้อความถึงเรา หรือหากเราส่งข้อความถึงพวกเขาตามคำขอของพวกเขาทางอินเทอร์เน็ต เราไม่รับผิดชอบในทางใดทางหนึ่งสำหรับความเสียหาย ความสูญเสีย หรือค่าใช้จ่ายทั้งทางตรง ทางอ้อม พิเศษ เป็นผลสืบเนื่อง โดยบังเอิญหรืออื่น ๆ ที่เกิดจากหรือเกี่ยวข้องกับการใช้เว็บไซต์นี้ เนื่องจากธรรมชาติของอินเทอร์เน็ต การสื่อสารหรือการทำธุรกรรมอาจถูกขัดจังหวะ การส่งข้อมูลขัดข้อง การส่งข้อมูลล่าช้า และการส่งข้อมูลที่ไม่ถูกต้อง เราไม่รับผิดชอบต่อการทำงานผิดพลาดของเครื่องมือสื่อสารที่ไม่ได้อยู่ภายใต้การควบคุมของเรา ซึ่งอาจส่งผลกระทบต่อความถูกต้องหรือความทันเวลาของการสื่อสารระหว่างผู้ใช้เว็บไซต์นี้กับเรา,"Pesan email yang dikirimkan kepada kami melalui Internet tidak dapat dijamin sepenuhnya aman. Kami tidak bertanggung jawab atas kerugian apa pun yang dialami pengguna jika mereka mengirim pesan kepada kami, atau jika kami mengirim pesan kepada mereka atas permintaan mereka, melalui Internet. Kami tidak bertanggung jawab dengan cara apa pun atas segala kerusakan, kerugian atau pengeluaran langsung, tidak langsung, khusus, konsekuensial, insidental atau lainnya yang timbul dari atau sehubungan dengan penggunaan situs web ini. Karena sifat Internet, komunikasi atau transaksi mungkin mengalami gangguan, pemadaman transmisi, transmisi tertunda, dan transmisi data yang salah. Kami tidak bertanggung jawab atas kegagalan fungsi fasilitas komunikasi di luar kendali kami yang dapat mempengaruhi keakuratan atau ketepatan waktu komunikasi antara pengguna situs web ini dan kami.",
desc_kiosk_term_of_use_6,"The trademarks, logos and the copyright of the content or information on this Site are owned by the Company or other service providers authorising their use on this Site. These may not be used without the written permission of the Company or the relevant intellectual property rights owner.",,,,本網站內容或信息的商標、標識和版權歸本公司或授權其在本網站上使用的其他服務提供商所有。 未經本公司或相關知識產權所有者的書面許可，不得使用這些內容。,本网站内容或信息的商标、标识和版权归本公司或授权其在本网站上使用的其他服务提供商所有。未经本公司或相关知识产权所有者的书面许可，不得使用这些内容。,เครื่องหมายการค้า โลโก้ และลิขสิทธิ์ของเนื้อหาหรือข้อมูลบนไซต์นี้เป็นของบริษัทหรือผู้ให้บริการรายอื่นที่อนุญาตให้ใช้งานบนไซต์นี้ ห้ามใช้สิ่งเหล่านี้โดยไม่ได้รับอนุญาตเป็นลายลักษณ์อักษรจากบริษัทหรือเจ้าของสิทธิ์ในทรัพย์สินทางปัญญาที่เกี่ยวข้อง,"Merek dagang, logo, dan hak cipta atas konten atau informasi di Situs ini adalah milik Perusahaan atau penyedia layanan lain yang mengizinkan penggunaannya di Situs ini. Ini tidak boleh digunakan tanpa izin tertulis dari Perusahaan atau pemilik hak kekayaan intelektual terkait.",
desc_kiosk_term_of_use_7,"In case of discrepancies between the English and Chinese versions of this data privacy statement, the English version shall apply and prevail.",,,,如果本數據隱私聲明的中英文版本之間存在差異，應以英文版本為準。,如果本数据隐私声明的中英文版本之间存在差异，应以英文版本为准。,ในกรณีที่มีความแตกต่างระหว่างคำชี้แจงสิทธิ์ส่วนบุคคลของข้อมูลฉบับภาษาอังกฤษและภาษาจีน ให้ยึดฉบับภาษาอังกฤษเป็นหลัก,"Jika terdapat perbedaan antara versi bahasa Inggris dan versi Mandarin dari pernyataan privasi data ini, maka versi bahasa Inggris akan berlaku dan berlaku.",
desc_kiosk_term_of_use_7_th,"In case of discrepancies between the English and Thai versions of this data privacy statement, the Thai version shall apply and prevail.",,,,如果本數據隱私聲明的英文與泰文版本之間存在差異，應以泰文版本為準。,如果本数据隐私声明的英文版与泰文版本之间存在差异，应以泰文版本为准。,ในกรณีที่มีความแตกต่างระหว่างคำชี้แจงความเป็นส่วนตัวของข้อมูลฉบับภาษาอังกฤษและภาษาไทย ให้ยึดถือฉบับภาษาไทยและมีผลบังคับเหนือกว่า,"Jika terdapat perbedaan antara versi bahasa Inggris dan versi Thailand dari pernyataan privasi data ini, maka versi bahasa Thailand yang akan berlaku dan berlaku.",
desc_manage_your_loose_hk,Coins to E-Vouchers with NO FEE! Convert coins to reward points at over 100+ service kiosks throughout the city.,,,,免費將硬幣兌換電子禮劵！全港 120+ 個服務站將硬幣轉換為龍幣積分。,免费将硬币兑换电子礼劵！全港 120 个服务站将硬币转换为龙币积分。,แปลงเหรียญของคุณเป็นบัตรกำนัล E-Vouchers โดยไม่มีค่าธรรมเนียม! ได้จากมากกว่า 100 ตู้ Coin Dragon ในทุกพื้นที่,Koin ke E-Voucher TANPA BIAYA! Konversikan koin menjadi poin reward di lebih dari 100+ kios layanan di seluruh kota.,
desc_manage_your_loose_sg,Coins to E-Vouchers with NO FEE! Convert coins to reward points at our service kiosks throughout the city.,,,,免費將硬幣兌換電子禮劵！所有服務站都可以將硬幣轉換為龍幣積分。,免费将硬币兑换电子礼劵！全狮城所有服务站都可以将硬币转换为龙币积分。,,Koin ke E-Voucher TANPA BIAYA! Konversikan koin menjadi poin reward di kios layanan kami di seluruh kota.,
desc_manage_your_loose_th,Coins to E-Vouchers with NO FEE! Convert coins to reward points at our service kiosks throughout the city.,,,,免費將硬幣兌換電子禮劵！全曼谷個服務站可以將硬幣轉換為龍幣積分。免费将硬币兑换电子礼劵！全曼谷所有服务站都可以将硬币转换为龙币积分。,,แปลงเหรียญของคุณเป็นบัตรกำนัล E-Vouchers โดยไม่มีค่าธรรมเนียม! ได้จากตู้ Coin Dragon ในทุกพื้นที่,Koin ke E-Voucher TANPA BIAYA! Konversikan koin menjadi poin reward di kios layanan kami di seluruh kota.,
